MatchID,GameID,Team Name,TeamID,Result,Pistols Won,Potential Thrifties,Thrifties Won
670471,267821,LEV,2359,lost,0,4,0
670471,267822,LEV,2359,won,1,3,0
670471,267822,PRX,624,lost,1,1,1
670471,267823,LEV,2359,won,2,1,0
670471,267823,PRX,624,lost,0,3,0
645474,258575,KRÜ,2,won,1,1,1
645474,258575,SEN,2355,lost,1,4,0
645474,258576,KRÜ,2,won,2,1,0
645474,258576,SEN,2355,lost,0,3,1
645475,258578,MIBR,7386,won,1,2,0
645475,258578,G2,11058,lost,1,3,0
645475,258579,MIBR,7386,won,1,4,0
645475,258579,G2,11058,lost,1,1,1
645476,258581,100T,5248,won,1,1,1
645476,258581,EG,120,lost,1,3,0
645476,258582,100T,5248,won,1,1,1
645476,258582,EG,120,lost,1,3,0
645477,258584,ENVY,427,won,2,2,0
645477,258584,LOUD,6961,lost,0,4,1
645477,258585,LOUD,6961,won,1,3,1
645477,258585,ENVY,427,lost,1,4,1
645477,258586,LOUD,6961,won,1,2,1
645477,258586,ENVY,427,lost,1,5,1
645478,258587,LEV,2359,won,2,1,1
645478,258587,C9,188,lost,0,3,0
645478,258588,LEV,2359,won,2,0,0
645478,258588,C9,188,lost,0,2,0
645479,258590,FUR,2406,won,1,1,0
645479,258590,NRG,1034,lost,1,3,0
645479,258591,FUR,2406,won,1,1,0
645479,258591,NRG,1034,lost,1,1,0
645480,258593,C9,188,won,1,1,0
645480,258593,ENVY,427,lost,1,3,0
645480,258594,ENVY,427,won,1,1,0
645480,258594,C9,188,lost,1,3,0
645480,258595,ENVY,427,won,1,2,0
645480,258595,C9,188,lost,1,1,0
645481,258596,EG,5248,won,1,3,0
645481,258596,FUR,2406,lost,1,3,0
645481,258597,FUR,2406,won,1,1,0
645481,258597,EG,5248,lost,1,4,2
645481,258598,FUR,2406,won,1,2,1
645481,258598,EG,5248,lost,1,5,1
645482,258599,G2,11058,won,2,1,1
645482,258599,LEV,2359,lost,0,3,1
645482,258600,LEV,2359,won,0,3,1
645482,258600,G2,11058,lost,2,4,1
645482,258601,LEV,2359,won,2,0,0
645482,258601,G2,11058,lost,0,3,0
645483,258602,MIBR,7386,won,0,3,1
645483,258602,LOUD,6961,lost,2,2,0
645483,258603,MIBR,7386,won,2,0,0
645483,258603,LOUD,6961,lost,0,2,0
645484,258605,KRÜ,2355,won,1,1,0
645484,258605,NRG,1034,lost,1,1,0
645484,258606,KRÜ,2355,won,1,2,1
645484,258606,NRG,1034,lost,1,2,0
645485,258608,SEN,2,won,1,1,1
645485,258608,100T,120,lost,1,4,0
645485,258609,SEN,2,won,1,3,1
645485,258609,100T,120,lost,1,3,1
645486,258611,LEV,2359,won,0,2,0
645486,258611,ENVY,427,lost,2,1,0
645486,258612,LEV,2359,won,2,0,0
645486,258612,ENVY,427,lost,0,5,0
645487,258614,G2,11058,won,0,1,0
645487,258614,LOUD,6961,lost,2,3,0
645487,258615,G2,11058,won,0,3,1
645487,258615,LOUD,6961,lost,2,1,0
645488,258617,KRÜ,2406,won,2,1,0
645488,258617,FUR,2355,lost,0,1,0
645488,258618,KRÜ,2406,won,2,2,1
645488,258618,FUR,2355,lost,0,4,0
645489,258620,100T,120,won,1,3,0
645489,258620,NRG,1034,lost,1,3,0
645489,258621,NRG,1034,won,1,3,0
645489,258621,100T,120,lost,1,2,1
645489,258622,NRG,1034,won,1,1,0
645489,258622,100T,120,lost,1,3,0
645490,258623,SEN,2,won,2,0,0
645490,258623,EG,5248,lost,0,3,0
645490,258624,SEN,2,won,0,4,3
645490,258624,EG,5248,lost,2,2,1
645491,258626,C9,188,won,0,2,1
645491,258626,MIBR,7386,lost,2,1,0
645491,258627,C9,188,won,1,1,0
645491,258627,MIBR,7386,lost,1,2,0
645492,258629,NRG,1034,won,1,2,0
645492,258629,EG,5248,lost,1,3,0
645492,258630,NRG,1034,won,2,2,0
645492,258630,EG,5248,lost,0,3,0
645493,258632,MIBR,7386,won,1,3,0
645493,258632,LEV,2359,lost,1,1,0
645493,258633,MIBR,7386,won,2,1,0
645493,258633,LEV,2359,lost,0,3,0
645494,258635,100T,2355,won,2,1,0
645494,258635,KRÜ,120,lost,0,2,0
645494,258636,KRÜ,120,won,2,1,1
645494,258636,100T,2355,lost,0,4,0
645494,258637,100T,2355,won,2,2,0
645494,258637,KRÜ,120,lost,0,4,1
645495,258638,FUR,2406,won,2,0,0
645495,258638,SEN,2,lost,0,4,0
645495,258639,SEN,2,won,2,2,0
645495,258639,FUR,2406,lost,0,2,0
645495,258640,FUR,2406,won,0,2,0
645495,258640,SEN,2,lost,2,1,0
645496,258641,LOUD,6961,won,2,0,0
645496,258641,C9,188,lost,0,3,0
645496,258642,C9,188,won,2,1,0
645496,258642,LOUD,6961,lost,0,2,0
645496,258643,LOUD,6961,won,0,3,0
645496,258643,C9,188,lost,2,1,0
645497,258644,G2,11058,won,0,1,1
645497,258644,ENVY,427,lost,2,4,0
645497,258645,G2,11058,won,2,0,0
645497,258645,ENVY,427,lost,0,5,1
645498,258647,EG,2355,won,2,0,0
645498,258647,KRÜ,5248,lost,0,3,0
645498,258648,KRÜ,5248,won,2,1,0
645498,258648,EG,2355,lost,0,4,0
645498,258649,KRÜ,5248,won,2,1,0
645498,258649,EG,2355,lost,0,3,0
645499,258650,FUR,120,won,0,3,0
645499,258650,100T,2406,lost,2,3,0
645499,258651,100T,2406,won,1,4,0
645499,258651,FUR,120,lost,1,3,0
645499,258652,100T,2406,won,1,2,0
645499,258652,FUR,120,lost,1,2,0
645500,258653,G2,11058,won,2,1,1
645500,258653,C9,188,lost,0,4,0
645500,258654,G2,11058,won,2,0,0
645500,258654,C9,188,lost,0,3,0
645501,258656,ENVY,427,won,2,0,0
645501,258656,MIBR,7386,lost,0,3,0
645501,258657,ENVY,427,won,2,0,0
645501,258657,MIBR,7386,lost,0,1,0
